nom,station_id,RL_best,alpha_RL,Vmax_RL,calib_RL,valid_RL,prev_RL,GR4J_best,params_GR4J,calib_GR4J,valid_GR4J,prev_GR4J,HMP_best,params_HMP,calib_HMP,valid_HMP,prev_HMP,HMP_reseau_best,params_HMP_reseau,calib_HMP_reseau,valid_HMP_reseau,prev_HMP_reseau
Aber-Ildut,J332302002,No,0.0032091136534412876,521.4157844036047,0.5225434409315186,0.431880529267188,,Yes,"[871.311893990773, -0.82231673193583, 160.77405592860717, 1.3978978978978986]",0.915228658675273,0.8788249176197835,0.9185175974088389,Yes,"{'sy': 0.0097749999999999, 'hk': 5.011872336272719e-06}",0.953539708264897,0.9668452948540348,0.9678645602916923,Yes,"{'sy': 0.010495, 'hk': 1.5848931924611122e-06}",0.9319834939227476,0.9435747725810272,0.9409398260423
Mignonne,J351401001,No,0.004712542245055352,446.658435192189,0.4907657881330513,0.3823631393474193,,Yes,"[497.7012512868075, 0.2629392504311027, 83.93141691026881, 1.2612612612612644]",0.9257710757278955,0.8878265985341605,0.8701796255746994,Yes,"{'sy': 0.0054718749999999, 'hk': 8.338611685953942e-05}",0.9499888643643748,0.952770833255533,0.9601100391790498,No,"{'sy': 0.01, 'hk': 1.3774076795305525e-05}",0.8835419422576967,0.8840660042720037,
Pont-Abbe,J412442001,No,0.0029334894106265285,577.2727495499206,0.5009775435444495,0.5012606707630791,,Yes,"[391.5056707498885, -2.2008205774918874, 432.68068157447595, 1.222222222222225]",0.9209717943364735,0.9231317882289862,0.945914654852154,Yes,"{'sy': 0.011265625, 'hk': 5.23299114681494e-06}",0.9171509086791644,0.93069973490337,0.9161935977571177,Yes,"{'sy': 0.01, 'hk': 1.2232071190499174e-05}",0.9132153562715,0.9283733937897704,0.9073610008717929
Troyon,J412572001,No,0.0030229445469563613,407.5548460098494,0.569880576950774,0.5307213853928132,,Yes,"[366.3868163138733, -8.118930563888743, 333.14978847690526, 1.2788434903840695]",0.9403244284954418,0.926004599027864,0.9242097676394047,Yes,"{'sy': 0.0093390624999999, 'hk': 1.767118302484882e-05}",0.9275930150108808,0.9192208467705676,0.8980479002972993,Yes,"{'sy': 0.01, 'hk': 1.0901844923851151e-05}",0.91672036894308,0.9103035387518972,0.8494279751306367
Goyen,J401401001,No,0.0040032398717360475,1015.6676770246734,0.4214526147240427,0.3951628149208941,,Yes,"[393.41610808647545, 0.7919831444335088, 156.1108531417663, 1.385806877162107]",0.913379352164778,0.939797425414027,0.9388925331739101,Yes,"{'sy': 0.0043445678710937, 'hk': 3.4693621314038854e-06}",0.911505141584296,0.96137461665706,0.9018456455281914,No,"{'sy': 0.01, 'hk': 1.7782794100389005e-05}",0.8265700899816084,0.892026822668713,
Langelin,J421451001,No,0.006658990909654159,350.95273285127394,0.527579846887755,0.5519419475769205,,Yes,"[267.73561971364717, -0.24231064462742566, 112.16825266780927, 1.1343843843843864]",0.9231660973539477,0.9232919551740562,0.7111781634038512,Yes,"{'sy': 0.0054999999999999, 'hk': 8.659643233600598e-05}",0.9433947921840758,0.9558230746489542,0.8249409702595447,No,"{'sy': 0.01, 'hk': 1.995262314968854e-05}",0.8305818871101303,0.7979604681150461,
Arguenon,J110301001,No,0.0026400943679544217,292.32033629452064,0.6663320927066618,0.6354720077413276,,Yes,"[347.3501706606665, -3.3289681879717183, 65.9616287675346, 1.4997208174796413]",0.9193359961299972,0.9121017406565815,0.8195921839363106,Yes,"{'sy': 0.0016750995635986, 'hk': 0.0006928007647124}",0.9421034049515862,0.9009356803994804,0.8866013664836462,Yes,"{'sy': 0.0001, 'hk': 3.1622776601683656e-06}",0.938834130695484,0.9196899380941882,0.9135941366160156
Jet,J422401001,No,0.003885354235833145,1025.6300256548052,0.4405818872632349,0.4261336943553593,,Yes,"[507.7554834957939, 0.8747758154867905, 196.3698753517982, 1.2710210210210242]",0.893158494629516,0.9348852798293128,0.9102063496928475,Yes,"{'sy': 0.0100421875, 'hk': 3.0177794720833457e-06}",0.9272506284989496,0.960257534929574,0.9399897963899365,Yes,"{'sy': 0.01, 'hk': 9.999999999999896e-06}",0.924146198961462,0.961059882244606,0.9256530558866168
Styval,J451542001,No,0.0028920540357109887,617.7498569619644,0.48798631356549615,0.5235663170896958,,Yes,"[302.29967464634086, -3.8703447037983842, 544.3232941058995, 1.1985956973008243]",0.9338942845035446,0.9470526221761102,0.9687785509397554,No,"{'sy': 0.009353125, 'hk': 1.0441190029805634e-05}",0.8831919606318316,0.9556904794998852,,No,"{'sy': 0.01, 'hk': 1.258925411794153e-05}",0.8821430423296303,0.9539885983359644,
Moros,J451401001,No,0.0030126134378774304,1026.9405029318177,0.534048449487381,0.4724962061505563,,Yes,"[533.7886638255613, -0.050020835937655016, 259.8228363229507, 1.2807807807807805]",0.9436900017627352,0.9418909658540138,0.95112033563814,Yes,"{'sy': 0.0217029180288314, 'hk': 0.000121652385715}",0.9283190887638764,0.9217560634119932,0.9141852350253807,Yes,"{'sy': 0.01, 'hk': 8.41395141645186e-06}",0.9036316325804185,0.94006435976182,0.9092982473973067
